<BEGIN>
Plant's Name;Plant's ID;Unit's ID;Initial generation (MW);Initial state (0/1);Hours in initial state
g83;83;83;0.0;0;24;
g84;84;84;0.0;0;24;
g85;85;85;0.0;0;24;
g86;86;86;35.0;1;24;
g89;89;89;0.0;0;24;
g90;90;90;1.55;1;24;
g91;91;91;1.55;1;24;
g92;92;92;0.0;0;24;
g93;93;93;0.0;0;24;
g96;96;96;0.0;0;24;
g101;101;101;0.0;0;24;
g103;103;103;0.0;0;24;
g105;105;105;0.0;0;24;
g108;108;108;2.5;1;24;
g109;109;109;0.0;0;24;
g110;110;110;0.0;0;24;
g111;111;111;0.0;0;24;
g112;112;112;0.0;0;24;
g113;113;113;0.0;0;24;
g114;114;114;0.0;0;24;
g115;115;115;17.0;1;24;
g116;116;116;1.5;1;24;
g117;117;117;0.0;0;24;
g119;119;119;0.0;0;24;
g120;120;120;40.0;1;24;
g125;125;125;0.0;0;24;
g126;126;126;0.0;0;24;
g129;129;129;0.0;0;24;
g130;130;130;0.0;0;24;
g135;135;135;0.0;0;24;
g139;139;139;0.0;0;24;
g140;140;140;0.0;0;24;
g141;141;141;0.0;0;24;
g142;142;142;0.0;0;24;
g143;143;143;0.0;0;24;
g144;144;144;0.0;0;24;
g145;145;145;0.0;0;24;
g146;146;146;2.43;1;24;
g147;147;147;1.47;1;24;
g148;148;148;0.0;0;24;
g149;149;149;86.0;1;24;
g150;150;150;0.0;0;24;
g151;151;151;0.0;0;24;
g152;152;152;0.0;0;24;
g153;153;153;0.0;0;24;
g154;154;154;0.0;0;24;
g155;155;155;0.0;0;24;
g156;156;156;0.0;0;24;
g157;157;157;0.0;0;24;
g158;158;158;0.0;0;24;
g161;161;161;35.0;1;24;
g163;163;163;0.0;0;24;
g166;166;166;100.0;1;24;
g168;168;168;380.7894542318779;1;24;
g169;169;169;368.022485098707;1;24;
g170;170;170;6.0;1;24;
g171;171;171;0.0;0;24;
g172;172;172;0.0;0;24;
g175;175;175;0.0;0;24;
g180;180;180;0.0;0;24;
g185;185;185;0.0;0;24;
g187;187;187;0.0;0;24;
g189;189;189;0.0;0;24;
g191;191;191;0.0;0;24;
g193;193;193;0.0;0;24;
g196;196;196;0.0;0;24;
g197;197;197;0.0;0;24;
g205;205;205;0.0;0;24;
g206;206;206;0.0;0;24;
g207;207;207;20.0;1;24;
g209;209;209;0.0;0;24;
g210;210;210;0.0;0;24;
g211;211;211;0.0;0;24;
g212;212;212;0.0;0;24;
g213;213;213;0.0;0;24;
g214;214;214;0.0;0;24;
g215;215;215;0.0;0;24;
g216;216;216;100.0;1;24;
g223;223;223;0.0;0;24;
g224;224;224;0.0;0;24;
g227;227;227;0.0;0;24;
g228;228;228;0.0;0;24;
g229;229;229;0.0;0;24;
g230;230;230;44.46428571428571;1;24;
g231;231;231;44.464285714285715;1;24;
g232;232;232;0.0;0;24;
g234;234;234;0.0;0;24;
g235;235;235;0.0;0;24;
g238;238;238;0.0;0;24;
g239;239;239;0.0;0;24;
g240;240;240;0.0;0;24;
g241;241;241;0.0;0;24;
g242;242;242;0.0;0;24;
g243;243;243;0.0;0;24;
g244;244;244;0.0;0;24;
g245;245;245;0.0;0;24;
g246;246;246;0.0;0;24;
g247;247;247;0.0;0;24;
g250;250;250;20.0;1;24;
g253;253;253;39.0;1;24;
g254;254;254;0.0;0;24;
g255;255;255;0.0;0;24;
g256;256;256;0.0;0;24;
g263;263;263;0.0;0;24;
g264;264;264;0.0;0;24;
g265;265;265;0.0;0;24;
g266;266;266;0.0;0;24;
g267;267;267;0.0;0;24;
g268;268;268;0.0;0;24;
g269;269;269;0.0;0;24;
g270;270;270;0.0;0;24;
g271;271;271;0.0;0;24;
g274;274;274;215.84276088097977;1;24;
g275;275;275;0.0;0;24;
g276;276;276;0.0;0;24;
g277;277;277;0.0;0;24;
g278;278;278;40.0;1;24;
g279;279;279;0.0;0;24;
g281;281;281;0.0;0;24;
g284;284;284;0.0;0;24;
g287;287;287;0.0;0;24;
g288;288;288;8.5;1;24;
g289;289;289;0.0;0;24;
g290;290;290;0.0;0;24;
g291;291;291;0.0;0;24;
g293;293;293;2.0;1;24;
g294;294;294;0.0;0;24;
g295;295;295;0.0;0;24;
g296;296;296;0.0;0;24;
g297;297;297;0.0;0;24;
g298;298;298;0.0;0;24;
g299;299;299;0.0;0;24;
g300;300;300;0.0;0;24;
g301;301;301;0.0;0;24;
g302;302;302;0.0;0;24;
g303;303;303;0.0;0;24;
g304;304;304;0.0;0;24;
g305;305;305;0.0;0;24;
g306;306;306;0.0;0;24;
g307;307;307;0.0;0;24;
g308;308;308;0.4;1;24;
g309;309;309;0.0;0;24;
g310;310;310;0.0;0;24;
g312;312;312;2.0;1;24;
g313;313;313;0.0;0;24;
g314;314;314;0.0;0;24;
g315;315;315;0.0;0;24;
g316;316;316;0.0;0;24;
g319;319;319;2.0;1;24;
g320;320;320;0.0;0;24;
g321;321;321;231.94479006067593;1;24;
g323;323;323;72.5;1;24;
g325;325;325;0.0;0;24;
g326;326;326;2.5;1;24;
g327;327;327;0.0;0;24;
g328;328;328;0.0;0;24;
g330;330;330;0.0;0;24;
g331;331;331;0.0;0;24;
g332;332;332;0.0;0;24;
g333;333;333;0.0;0;24;
g334;334;334;0.0;0;24;
g335;335;335;0.0;0;24;
g336;336;336;0.0;0;24;
g339;339;339;0.0;0;24;
g340;340;340;0.3;1;24;
g341;341;341;0.0;0;24;
g343;343;343;0.0;0;24;
g344;344;344;0.0;0;24;
g345;345;345;0.0;0;24;
g346;346;346;40.0;1;24;
g350;350;350;4.0;1;24;
g351;351;351;0.0;0;24;
g352;352;352;0.0;0;24;
g356;356;356;0.0;0;24;
g357;357;357;0.0;0;24;
g358;358;358;36.0;1;24;
g361;361;361;0.0;0;24;
g363;363;363;0.0;0;24;
g364;364;364;0.0;0;24;
g365;365;365;0.0;0;24;
g369;369;369;0.5;1;24;
g370;370;370;0.0;0;24;
g371;371;371;0.0;0;24;
g372;372;372;0.0;0;24;
g373;373;373;0.0;0;24;
g374;374;374;0.0;0;24;
g375;375;375;0.0;0;24;
g379;379;379;0.0;0;24;
g384;384;384;0.0;0;24;
g387;387;387;0.0;0;24;
g388;388;388;2.5;1;24;
g389;389;389;2.0;1;24;
g392;392;392;0.0;0;24;
g393;393;393;0.0;0;24;
g394;394;394;0.0;0;24;
g399;399;399;20.0;1;24;
g402;402;402;0.0;0;24;
g406;406;406;0.0;0;24;
g407;407;407;0.0;0;24;
g408;408;408;0.0;0;24;
g409;409;409;2.567;1;24;
g410;410;410;0.0;0;24;
g411;411;411;0.0;0;24;
g412;412;412;0.0;0;24;
g417;417;417;0.0;0;24;
g418;418;418;0.0;0;24;
g420;420;420;0.0;0;24;
</END>
