<BEGIN>;;;;;;;;;;;;;;;;;
<Thermal generating units>;;;;;;;;;;;;;;;;;
Plant's Name;Plant's ID;Unit's ID;Minimum power output (MW);Maximum power output (MW);Ramp-up limit (MW/h);Ramp-down limit (MW/h);Minimum up-time (h);Minimum down-time (h);Bus;Standard linear generation cost ($/MWh);Constant cost ($);Start-up cost ($);Shut-down cost ($);Minimum reactive generation (MVAr);Maximum reactive generation (MVAr);Maximum apparent power (MVA);Comments
g27;27;27;0.715077092;8.3508969;5.85;5.85;2;2;124;0;0;10.016;0;0;0;0;
g28;28;28;1.658656785;25.78642239;18.05;18.05;4;4;125;0;0;208.454;0;0;0;0;
g29;29;29;1.170000144;11.99230798;8.39;8.39;2;2;125;30.19055458;0;78.998;0;0;0;0;
g30;30;30;0.157812556;16.78150524;11.75;11.75;4;4;132;2.807411245;0;178.1115;0;0;0;0;
g31;31;31;0;3.809979901;2.67;2.67;2;2;132;0;0;0;0;0;0;0;
g32;32;32;1.637099552;13.85996267;9.7;9.7;1;1;132;42.59719332;0;116.4115;0;0;0;0;
g33;33;33;0.697282446;13.9969102;9.8;9.8;4;4;132;32.95845322;0;93.1735;0;0;0;0;
g34;34;34;3.636154395;17.83507494;12.48;12.48;2;2;137;28.42690673;0;142.704;0;0;0;0;
g35;35;35;4.808841158;17.99804812;12.6;12.6;1;1;137;17.52823128;0;155.3565;0;0;0;0;
g36;36;36;0.256855043;5.017241945;3.51;3.51;2;2;156;0;0;2.6565;0;0;0;0;
g37;37;37;3.10730421;17.83481442;12.48;12.48;2;2;159;60.72279365;0;153.2515;0;0;0;0;
g38;38;38;0.357803197;17.62460512;12.34;12.34;1;1;159;17.91180418;0;168.772;0;0;0;0;
g39;39;39;2.435684873;25.0389258;17.53;17.53;1;1;178;3.221860121;0;187.195;0;0;0;0;
g40;40;40;0.338815643;10.57946188;7.41;7.41;1;1;191;7.992657315;0;6.951;0;0;0;0;
g41;41;41;0.503245363;10.61787182;7.43;7.43;4;4;191;1.50140723;0;12.075;0;0;0;0;
g42;42;42;5.956734402;29.52665809;20.67;20.67;2;2;193;64.16573865;0;226.5655;0;0;0;0;
g43;43;43;2.964848483;23.26065597;16.28;16.28;4;4;195;60.949923;0;189.9365;0;0;0;0;
g44;44;44;2.131977617;14.83956093;10.39;10.39;4;4;197;63.78668285;0;135.4;0;0;0;0;
g45;45;45;1.556328406;14.86536706;10.41;10.41;1;1;197;31.25132776;0;151.056;0;0;0;0;
g46;46;46;2.052230458;11.90567844;8.33;8.33;4;4;220;49.25591616;0;44.6875;0;0;0;0;
g47;47;47;0.066603344;5.696123053;3.99;3.99;1;1;227;0;0;0.7875;0;0;0;0;
g48;48;48;0.195961763;6.510815089;4.56;4.56;4;4;230;0;0;4.455;0;0;0;0;
g49;49;49;4.449777306;29.99185509;20.99;20.99;2;2;239;40.48757746;0;229.345;0;0;0;0;
g50;50;50;1.041198806;23.97823101;16.78;16.78;2;2;239;0;0;190.615;0;0;0;0;
g51;51;51;0.533371516;7.020479015;4.91;4.91;1;1;241;0;0;6.029;0;0;0;0;
g52;52;52;2.56328775;31.44765952;22.01;22.01;4;4;241;0;0;226.63;0;0;0;0;
g53;53;53;0;0;0.03;0.03;2;2;249;8.294935865;0;0;0;0;0;0;
g54;54;54;3.608918528;27.28876393;19.1;19.1;2;2;249;0;0;208.758;0;0;0;0;
g55;55;55;8.432460843;25.74842636;18.02;18.02;2;2;249;0;0;105.457;0;0;0;0;
g56;56;56;7.814605947;25.08139475;17.56;17.56;4;4;249;0;0;177.5785;0;0;0;0;
g57;57;57;2.321676091;25.80264578;18.06;18.06;2;2;259;2.199292745;0;176.0875;0;0;0;0;
g58;58;58;3.535160521;25.94406824;18.16;18.16;4;4;259;0;0;178.1785;0;0;0;0;
g59;59;59;4.613394744;25.61372899;17.93;17.93;2;2;261;47.70994816;0;177.1565;0;0;0;0;
g60;60;60;0.317188298;7.703262147;5.39;5.39;1;1;264;0;0;9.421;0;0;0;0;
g61;61;61;2.166700305;12.5874808;8.81;8.81;2;2;272;60.93182935;0;97.2715;0;0;0;0;
g62;62;62;2.549238971;11.34268231;7.94;7.94;2;2;285;47.82298073;0;40.28;0;0;0;0;
g63;63;63;0.728468329;24.97980028;17.49;17.49;2;2;298;5.33759508;0;206.37;0;0;0;0;
g64;64;64;2.366348413;11.98147353;8.39;8.39;4;4;299;45.76660222;0;58.845;0;0;0;0;
g65;65;65;2.351056348;14.89874977;10.43;10.43;4;4;308;63.8628786;0;104.2005;0;0;0;0;
g66;66;66;8.8462709;25.30960555;17.72;17.72;4;4;315;51.4882873;0;112.7245;0;0;0;0;
g67;67;67;0;48.12025273;33.68;33.68;1;1;315;0;0;19.3305;0;0;0;0;
g70;70;70;0.212362707;10.38600289;7.27;7.27;4;4;322;13.88893236;0;4.8735;0;0;0;0;
g71;71;71;0.034038341;10.89846201;7.63;7.63;4;4;328;9.81296171;0;7.9815;0;0;0;0;
g72;72;72;2.171123518;24.621404;17.23;17.23;2;2;335;21.17457615;0;199.8395;0;0;0;0;
g73;73;73;4.316161636;24.88531488;17.42;17.42;2;2;336;7.428980925;0;180.331;0;0;0;0;
g74;74;74;1.949526886;12.663577;8.86;8.86;4;4;339;73.03357055;0;71.215;0;0;0;0;
g75;75;75;3.811254521;20.85454837;14.6;14.6;2;2;341;12.98877533;0;168.239;0;0;0;0;
g76;76;76;0;1.388815631;0.97;0.97;1;1;341;0;0;0;0;0;0;0;
g77;77;77;0;1.701252109;1.19;1.19;2;2;348;0;0;0;0;0;0;0;
g78;78;78;4.147387361;19.31272222;13.52;13.52;4;4;348;20.10885604;0;145.3645;0;0;0;0;
g79;79;79;5.555715341;21.55266202;15.09;15.09;1;1;351;23.22704048;0;133.7195;0;0;0;0;
g80;80;80;3.332418395;22.18699964;15.53;15.53;1;1;359;27.42815453;0;186.452;0;0;0;0;
g81;81;81;0.887119025;11.81601611;8.27;8.27;4;4;360;13.10201192;0;75.255;0;0;0;0;
g82;82;82;1.850288192;11.99937898;8.4;8.4;1;1;360;5.943273145;0;58.634;0;0;0;0;
g83;83;83;0;119.3887965;83.57;83.57;2;2;367;35.28749332;0;650.8035;0;0;0;0;
g84;84;84;0.002105828;2.627967299;1.84;1.84;1;1;394;0;0;0;0;0;0;0;
g85;85;85;0.262163118;9.481743474;6.64;6.64;1;1;413;0;0;2.7615;0;0;0;0;
g86;86;86;0.751523726;11.24536315;7.87;7.87;2;2;413;15.72583335;0;43.0095;0;0;0;0;
g87;87;87;1.039547283;11.81118361;8.27;8.27;2;2;433;5.59318283;0;66.824;0;0;0;0;
g88;88;88;4.755609866;24.96696694;17.48;17.48;4;4;442;22.32983219;0;144.1625;0;0;0;0;
g89;89;89;1.566722749;24.75139915;17.33;17.33;2;2;449;32.04204298;0;192.436;0;0;0;0;
g90;90;90;0;1.600818648;1.12;1.12;2;2;465;0;0;0;0;0;0;0;
g91;91;91;0.078306266;15.83527716;11.08;11.08;4;4;465;11.46826802;0;172.1105;0;0;0;0;
g92;92;92;4.549212877;25.94849928;18.16;18.16;4;4;467;38.12821761;0;197.7105;0;0;0;0;
g93;93;93;3.768781007;26.02322635;18.22;18.22;4;4;467;11.01723051;0;192.3645;0;0;0;0;
g94;94;94;1;46.32142857;32.42;32.42;1;1;469;21.80027215;0;4.441;0;0;0;0;
g95;95;95;0.093228265;9.516280068;6.66;6.66;2;2;473;0;0;6.0975;0;0;0;0;
g96;96;96;0.475570185;8.744142843;6.12;6.12;2;2;473;0;0;9.856;0;0;0;0;
g97;97;97;4.188790568;25.98663015;18.19;18.19;1;1;482;6.81732894;0;194.2235;0;0;0;0;
g98;98;98;3.029951393;26.13098409;18.29;18.29;2;2;482;0;0;189.461;0;0;0;0;
g99;99;99;7.402822986;25.53352352;17.87;17.87;4;4;482;14.12804704;0;204.3945;0;0;0;0;
g100;100;100;2.301552945;23.33903707;16.34;16.34;4;4;494;57.60617625;0;203.0925;0;0;0;0;
g101;101;101;0.029331328;3.886434749;2.72;2.72;2;2;511;0;0;0;0;0;0;0;
g102;102;102;0.213085264;9.694013025;6.79;6.79;4;4;520;0;0;8.6045;0;0;0;0;
g103;103;103;2.544817404;11.87399329;8.31;8.31;4;4;521;56.6921252;0;62.437;0;0;0;0;
g104;104;104;0.481054482;7.562677743;5.29;5.29;4;4;531;0;0;8.33;0;0;0;0;
g105;105;105;0.232961409;7.730396012;5.41;5.41;4;4;531;0;0;3.755;0;0;0;0;
g106;106;106;0.105825779;7.221983753;5.06;5.06;2;2;531;0;0;3.421;0;0;0;0;
g107;107;107;2.031399175;11.85343786;8.3;8.3;1;1;537;45.43921645;0;59.619;0;0;0;0;
g108;108;108;4.021472188;23.72449032;16.61;16.61;4;4;537;31.56839363;0;154.94;0;0;0;0;
g109;109;109;0.253450847;8.787229001;6.15;6.15;1;1;546;0;0;6.8895;0;0;0;0;
g110;110;110;2.219134597;11.88019262;8.32;8.32;4;4;549;50.67752105;0;29.595;0;0;0;0;
g111;111;111;2.516210633;11.82496621;8.28;8.28;4;4;571;38.87484324;0;33.6975;0;0;0;0;
g112;112;112;5.807846815;26.5726804;18.6;18.6;2;2;571;37.58718226;0;153.6995;0;0;0;0;
g113;113;113;0.839464115;11.17607364;7.82;7.82;1;1;571;20.32048544;0;37.6565;0;0;0;0;
g114;114;114;0.744676921;15.73855772;11.02;11.02;4;4;584;45.23343256;0;102.1555;0;0;0;0;
g115;115;115;0.384764431;9;6.3;6.3;1;1;586;0;0;9.0855;0;0;0;0;
g116;116;116;0.21225003;9.035090951;6.32;6.32;2;2;587;0;0;4.0865;0;0;0;0;
g117;117;117;0;0;0.05;0.05;1;1;590;9.23386002;0;0;0;0;0;0;
g118;118;118;2.49382879;20.7376779;14.52;14.52;1;1;594;51.7431876;0;186.454;0;0;0;0;
g119;119;119;0.43748949;5.702282282;3.99;3.99;2;2;601;0;0;3.636;0;0;0;0;
g120;120;120;0;37.90685098;26.53;26.53;2;2;611;11.10890198;0;4.834;0;0;0;0;
g121;121;121;0;37.63271153;26.34;26.34;2;2;611;7.451896435;0;5.652;0;0;0;0;
g122;122;122;4.237379528;11.86234997;8.3;8.3;1;1;613;79.1826367;0;18.658;0;0;0;0;
g123;123;123;1.714323979;11.62330985;8.14;8.14;2;2;613;33.69366738;0;47.4685;0;0;0;0;
g124;124;124;1.703474342;11.9988596;8.4;8.4;2;2;613;48.93736509;0;78.818;0;0;0;0;
g125;125;125;3.898934409;26.21959491;18.35;18.35;4;4;614;0;0;210.9825;0;0;0;0;
g126;126;126;2.532765421;11.41393168;7.99;7.99;1;1;614;21.17343708;0;49.9365;0;0;0;0;
g127;127;127;0;15.23902841;10.67;10.67;2;2;626;0;0;9.2845;0;0;0;0;
g128;128;128;0.374333855;6.959696495;4.87;4.87;2;2;635;0;0;9.6535;0;0;0;0;
g129;129;129;1.532045378;14.93021566;10.45;10.45;2;2;638;42.56043051;0;137.3965;0;0;0;0;
g130;130;130;1.145037117;14.80274938;10.36;10.36;2;2;638;47.60289873;0;106.2055;0;0;0;0;
g131;131;131;0.56275769;6.4884021;4.54;4.54;2;2;653;0;0;5.628;0;0;0;0;
g132;132;132;0.806561211;11.69288945;8.19;8.19;4;4;671;13.3375199;0;38.343;0;0;0;0;
g133;133;133;3.16481992;11.93074853;8.35;8.35;1;1;671;59.1662173;0;48.4445;0;0;0;0;
g134;134;134;0.315029506;6.784726237;4.75;4.75;4;4;672;0;0;5.0165;0;0;0;0;
g135;135;135;2.780627828;23.74944106;16.62;16.62;2;2;672;0;0;223.3835;0;0;0;0;
g136;136;136;1.07221886;5.625255582;3.94;3.94;1;1;680;0;0;9.209;0;0;0;0;
g137;137;137;2.27635038;11.96000324;8.37;8.37;1;1;681;58.86022995;0;70.0335;0;0;0;0;
g138;138;138;0.673778254;8.703581402;6.09;6.09;1;1;685;0;0;9.745;0;0;0;0;
g139;139;139;0.281664255;9;6.3;6.3;1;1;685;0;0;7.198;0;0;0;0;
g140;140;140;0.348264703;10.81782741;7.57;7.57;4;4;685;1.975091853;0;15.766;0;0;0;0;
g141;141;141;0.339973333;10.70733488;7.5;7.5;4;4;685;2.081533149;0;12.1705;0;0;0;0;
g142;142;142;2.397093753;24.21071778;16.95;16.95;1;1;696;8.96489291;0;157.02;0;0;0;0;
g143;143;143;2.306878047;11.93964725;8.36;8.36;4;4;696;51.41206075;0;73.157;0;0;0;0;
g144;144;144;0.7550913;20.74121101;14.52;14.52;4;4;696;0;0;206.726;0;0;0;0;
g145;145;145;4.857478868;29.79205625;20.85;20.85;2;2;700;29.92558728;0;194.1105;0;0;0;0;
g146;146;146;3.532699612;24.6656064;17.27;17.27;4;4;700;0;0;236.8185;0;0;0;0;
g147;147;147;1.863421057;24.79815782;17.36;17.36;4;4;699;0;0;222.218;0;0;0;0;
g148;148;148;3.298350267;32.89947907;23.03;23.03;2;2;699;0;0;269.5215;0;0;0;0;
g149;149;149;2.847372299;35.38618637;24.77;24.77;4;4;698;0;0;282.148;0;0;0;0;
g150;150;150;5.10507319;31.85663052;22.3;22.3;4;4;698;0;0;227.494;0;0;0;0;
g151;151;151;0;3.798889452;2.66;2.66;1;1;706;0;0;0;0;0;0;0;
g152;152;152;0;3.687141733;2.58;2.58;4;4;706;0;0;0;0;0;0;0;
g153;153;153;0.718621715;5.046707532;3.53;3.53;2;2;706;0;0;5.173;0;0;0;0;
g154;154;154;0.227607941;8.11361015;5.68;5.68;4;4;706;0;0;8.33;0;0;0;0;
g155;155;155;2.346770392;19.25770431;13.48;13.48;1;1;733;28.56835009;0;152.774;0;0;0;0;
g156;156;156;0.538317281;27.51316233;19.26;19.26;4;4;734;0;0;243.0485;0;0;0;0;
g157;157;157;2.073443602;11.32969413;7.93;7.93;4;4;735;20.38937807;0;33.568;0;0;0;0;
g158;158;158;4.272934598;20.87506811;14.61;14.61;4;4;735;36.76312114;0;145.887;0;0;0;0;
g159;159;159;3.57458274;11.86046398;8.3;8.3;2;2;737;52.3676646;0;45.6685;0;0;0;0;
g160;160;160;2.639651842;19.4733019;13.63;13.63;2;2;737;12.62549538;0;88.878;0;0;0;0;
g161;161;161;0.162296093;4.956789214;3.47;3.47;1;1;738;0;0;0.423;0;0;0;0;
g162;162;162;0.355249993;6.188507225;4.33;4.33;2;2;745;0;0;2.9545;0;0;0;0;
g163;163;163;0.112822631;5.483785565;3.84;3.84;4;4;745;0;0;1.306;0;0;0;0;
g164;164;164;2.578876518;26.50017703;18.55;18.55;2;2;746;3.551316688;0;216.183;0;0;0;0;
g165;165;165;1.791313926;6.280623704;4.4;4.4;1;1;747;0.838088354;0;9.107;0;0;0;0;
g166;166;166;0;8.97988792;6.29;6.29;2;2;752;0;0;2.0495;0;0;0;0;
g167;167;167;2.464108393;23.34050152;16.34;16.34;1;1;759;42.10820046;0;252.3855;0;0;0;0;
g168;168;168;0.607962246;5.135749648;3.6;3.6;4;4;761;0;0;4.576;0;0;0;0;
g169;169;169;0.971870958;5.116480947;3.58;3.58;4;4;762;0;0;7.216;0;0;0;0;
g170;170;170;4.480399516;25.23834522;17.67;17.67;1;1;761;0;0;213.0695;0;0;0;0;
g171;171;171;3.723671877;24.0608308;16.84;16.84;4;4;762;0;0;98.4535;0;0;0;0;
g172;172;172;0;0.191810469;0.13;0.13;2;2;763;0;0;0;0;0;0;0;
g173;173;173;3.118470237;26.05724861;18.24;18.24;4;4;763;56.59944245;0;230.3355;0;0;0;0;
g174;174;174;0;0.62426333;0.44;0.44;4;4;763;5.87759886;0;0;0;0;0;0;
g175;175;175;0;0.112730744;0.08;0.08;1;1;763;6.92335786;0;0;0;0;0;0;
g176;176;176;2.565510441;24.58057327;17.21;17.21;4;4;767;0;0;181.105;0;0;0;0;
g177;177;177;2.925723293;23.20274398;16.24;16.24;2;2;767;0;0;141.4155;0;0;0;0;
g178;178;178;0.362326245;7.251735918;5.08;5.08;4;4;787;0;0;5.1405;0;0;0;0;
g179;179;179;1.1390439;14.74944301;10.32;10.32;2;2;787;42.93055699;0;125.487;0;0;0;0;
g180;180;180;4.25612152;18.75292416;13.13;13.13;4;4;788;48.61597474;0;85.565;0;0;0;0;
g181;181;181;2.785368977;30.43383542;21.3;21.3;1;1;802;57.8200055;0;213.9005;0;0;0;0;
g182;182;182;4.693402678;23.42128416;16.39;16.39;1;1;802;0;0;124.648;0;0;0;0;
g183;183;183;3.4451872;21.07532892;14.75;14.75;2;2;803;47.68412274;0;126.4215;0;0;0;0;
g184;184;184;4.491340356;28.09909008;19.67;19.67;4;4;803;82.5647909;0;207.678;0;0;0;0;
g185;185;185;3.205874145;24.41425646;17.09;17.09;4;4;804;0;0;147.497;0;0;0;0;
g186;186;186;7.538490164;28.32227201;19.83;19.83;4;4;804;36.53637897;0;144.7625;0;0;0;0;
g187;187;187;0;30.11480937;21.08;21.08;1;1;808;0;0;174.7385;0;0;0;0;
g188;188;188;3.602322728;22.03139896;15.42;15.42;1;1;816;2.814778111;0;174.809;0;0;0;0;
g189;189;189;5.972543417;22.49547224;15.75;15.75;1;1;816;71.7641363;0;165.6055;0;0;0;0;
g190;190;190;4.418384596;24.05688155;16.84;16.84;1;1;817;30.22100241;0;156.6845;0;0;0;0;
g191;191;191;5.678256066;30.84150771;21.59;21.59;1;1;817;28.3898566;0;203.3735;0;0;0;0;
g192;192;192;5.412130365;26.9158885;18.84;18.84;4;4;817;44.26767655;0;122.271;0;0;0;0;
g193;193;193;6.18721263;22.4250208;15.7;15.7;4;4;817;46.80281003;0;102.4955;0;0;0;0;
g194;194;194;2.156840809;12.86490309;9.01;9.01;1;1;827;63.93694075;0;84.023;0;0;0;0;
g195;195;195;0.873766536;5.841246398;4.09;4.09;1;1;827;0;0;7.156;0;0;0;0;
g196;196;196;0;1.311389184;0.92;0.92;4;4;830;0;0;0;0;0;0;0;
g197;197;197;5.270574133;26.06359565;18.24;18.24;2;2;831;12.62892587;0;212.657;0;0;0;0;
g198;198;198;1.044218309;19.83257649;13.88;13.88;2;2;832;0;0;194.8595;0;0;0;0;
g199;199;199;0.419680588;9.31737758;6.52;6.52;4;4;834;0;0;7.156;0;0;0;0;
g200;200;200;0.34954679;4.527415549;3.17;3.17;2;2;834;0;0;3.7575;0;0;0;0;
g201;201;201;0.917386908;14.78470602;10.35;10.35;4;4;837;45.41867147;0;141.876;0;0;0;0;
g202;202;202;4.336080921;18.76386497;13.13;13.13;2;2;839;4.171676793;0;86.8705;0;0;0;0;
g203;203;203;2.689888019;14.72472203;10.31;10.31;4;4;839;87.5494965;0;81.8335;0;0;0;0;
g204;204;204;3.205435127;11.73855703;8.22;8.22;1;1;858;69.5369865;0;28.523;0;0;0;0;
g205;205;205;0.152240058;11.80545108;8.26;8.26;1;1;858;8.94283562;0;69.1495;0;0;0;0;
g206;206;206;2.446702044;13.72183865;9.61;9.61;1;1;865;42.11301709;0;93.7405;0;0;0;0;
g207;207;207;2.445263547;13.84984764;9.69;9.69;1;1;866;74.5494028;0;95.7735;0;0;0;0;
g208;208;208;0.448616183;9.582179094;6.71;6.71;1;1;887;0;0;6.823;0;0;0;0;
g209;209;209;1.837975972;11.91606847;8.34;8.34;1;1;887;16.158361;0;65.9645;0;0;0;0;
g210;210;210;1.166817282;12.73450537;8.91;8.91;1;1;891;42.29750945;0;81.2665;0;0;0;0;
g211;211;211;1.084628264;12.78297339;8.95;8.95;1;1;891;36.95587543;0;87.8725;0;0;0;0;
g212;212;212;1.285632889;12.9486267;9.06;9.06;4;4;891;40.48587822;0;106.348;0;0;0;0;
g213;213;213;3.113448281;12.70947068;8.9;8.9;1;1;891;78.12511875;0;57.673;0;0;0;0;
g214;214;214;0.422583791;13.6909861;9.58;9.58;4;4;909;20.24818738;0;88.636;0;0;0;0;
g215;215;215;0.393118256;7.367860762;5.16;5.16;2;2;948;0;0;6.9595;0;0;0;0;
g216;216;216;0;1.684295224;1.18;1.18;2;2;952;0;0;0;0;0;0;0;
g217;217;217;0;48.67677318;34.07;34.07;1;1;973;0;0;27.395;0;0;0;0;
g218;218;218;3.650052101;17.94647362;12.56;12.56;1;1;975;86.5257414;0;197.778;0;0;0;0;
g219;219;219;0.366542165;7.605417533;5.32;5.32;1;1;981;0;0;10.635;0;0;0;0;
g220;220;220;0.026645799;7.650526067;5.36;5.36;2;2;981;0;0;1.593;0;0;0;0;
g221;221;221;0;47.25;33.08;33.08;1;1;991;20.635;0;4.5335;0;0;0;0;
g222;222;222;2.183555846;14.75194822;10.33;10.33;1;1;991;69.76879115;0;121.25;0;0;0;0;
g223;223;223;0;47.25;33.07;33.07;1;1;991;20.635;0;4.5335;0;0;0;0;
g224;224;224;1.833804521;21.73020755;15.21;15.21;4;4;993;9.513381825;0;150.588;0;0;0;0;
g225;225;225;0;3.664122715;2.56;2.56;1;1;995;0;0;0;0;0;0;0;
g226;226;226;0.0428159;2.922026393;2.05;2.05;4;4;1017;0;0;0;0;0;0;0;
g227;227;227;0;2.657676553;1.86;1.86;4;4;1017;0;0;0;0;0;0;0;
g228;228;228;0.761679069;6.507564483;4.56;4.56;1;1;1021;0;0;8.285;0;0;0;0;
g229;229;229;5.243474446;19.82022142;13.87;13.87;4;4;1033;43.44936817;0;131.4415;0;0;0;0;
g230;230;230;2.262594435;19.83390955;13.88;13.88;2;2;1056;0;0;145.4295;0;0;0;0;
g231;231;231;1.909840782;13.49929379;9.45;9.45;4;4;1058;64.8484832;0;80.8265;0;0;0;0;
g232;232;232;0;0.387914643;0.27;0.27;2;2;1058;6.463561485;0;0;0;0;0;0;
g233;233;233;7.0115811;11.8;8.26;8.26;1;1;1065;10.23905669;0;0.3755;0;0;0;0;
g234;234;234;0.776526727;7.294066612;5.11;5.11;1;1;1066;0;0;11.552;0;0;0;0;
g235;235;235;2.672105919;11.75605704;8.23;8.23;4;4;1073;62.9133375;0;49.444;0;0;0;0;
g236;236;236;0.572318849;11.69021148;8.18;8.18;4;4;1074;8.69718738;0;45.85;0;0;0;0;
g237;237;237;0.341961482;7.562076182;5.29;5.29;1;1;1078;0;0;9.286;0;0;0;0;
g238;238;238;0;126.6500663;88.66;88.66;4;4;1113;0;0;679.086;0;0;0;0;
g239;239;239;0;117.4150185;82.19;82.19;4;4;1113;0;0;928.612;0;0;0;0;
g240;240;240;1.971771924;17.73630203;12.42;12.42;4;4;1119;21.38120387;0;112.8895;0;0;0;0;
g241;241;241;3.73058924;17.88096068;12.52;12.52;2;2;1119;0;0;99.2715;0;0;0;0;
g242;242;242;0.045330032;6.84322599;4.79;4.79;2;2;1134;0;0;0.432;0;0;0;0;
g243;243;243;0.320430466;11.69151612;8.18;8.18;4;4;1137;17.74058848;0;73.63;0;0;0;0;
g244;244;244;0.979430384;11.75318188;8.23;8.23;4;4;1144;30.93700417;0;70.2705;0;0;0;0;
g245;245;245;0.650540942;5.408599144;3.79;3.79;4;4;1156;0;0;6.1095;0;0;0;0;
g246;246;246;0.377762976;7.640513406;5.35;5.35;1;1;1156;0;0;6.431;0;0;0;0;
g247;247;247;4.333460873;58.74569084;41.12;41.12;1;1;1219;0;0;166.2475;0;0;0;0;
g248;248;248;0;30.03679842;21.03;21.03;1;1;1220;0;0;40.9265;0;0;0;0;
g249;249;249;0.205099411;11.06481323;7.75;7.75;2;2;1230;0.053921023;0;76.5765;0;0;0;0;
g250;250;250;0;40.64717921;28.45;28.45;1;1;1255;5.618437035;0;7.6155;0;0;0;0;
g251;251;251;0;39.73464768;27.81;27.81;4;4;1255;4.361388076;0;7.732;0;0;0;0;
g252;252;252;4.304015187;26.62610278;18.64;18.64;2;2;1265;8.735265955;0;175.4515;0;0;0;0;
g253;253;253;3.3787333;23.56357444;16.49;16.49;2;2;1268;65.12955205;0;102.2385;0;0;0;0;
g254;254;254;4.617442731;23.81518305;16.67;16.67;2;2;1269;57.96912495;0;249.9155;0;0;0;0;
g255;255;255;0.463873688;4.158917181;2.91;2.91;1;1;1273;0;0;5.3865;0;0;0;0;
g256;256;256;5.408378935;24.92085412;17.44;17.44;4;4;1287;104.1549165;0;54.5205;0;0;0;0;
g257;257;257;1.100546681;14.16838228;9.92;9.92;1;1;1287;34.57738441;0;125.8315;0;0;0;0;
g258;258;258;0;0.292223042;0.2;0.2;1;1;1296;13.18493081;0;0;0;0;0;0;
g259;259;259;0.217570403;7.719169129;5.4;5.4;1;1;1296;0;0;9.521;0;0;0;0;
g260;260;260;0.071775125;7.703298696;5.39;5.39;1;1;1296;0;0;8.5275;0;0;0;0;
g261;261;261;0;3.81166837;2.67;2.67;2;2;1313;0;0;0;0;0;0;0;
