<BEGIN>
Plant's Name;Plant's ID;Unit's ID;Initial generation (MW);Initial state (0/1);Hours in initial state
g90;90;90;0.0;1;24;
g91;91;91;0.0;0;24;
g92;92;92;0.0;0;24;
g93;93;93;0.0;0;24;
g94;94;94;0.0;0;24;
g95;95;95;0.0;0;24;
g96;96;96;0.0;0;24;
g97;97;97;0.0;0;24;
g98;98;98;0.0;0;24;
g99;99;99;0.0;0;24;
g100;100;100;0.0;0;24;
g101;101;101;0.0;0;24;
g102;102;102;0.0;0;24;
g103;103;103;0.0;0;24;
g104;104;104;0.0;0;24;
g105;105;105;0.0;0;24;
g106;106;106;0.0;0;24;
g107;107;107;0.0;0;24;
g108;108;108;0.0;0;24;
g109;109;109;0.0;0;24;
g110;110;110;0.0;0;24;
g111;111;111;0.0;0;24;
g112;112;112;0.0;0;24;
g113;113;113;0.0;0;24;
g114;114;114;0.0;0;24;
g115;115;115;0.0;0;24;
g116;116;116;0.0;0;24;
g117;117;117;0.0;0;24;
g118;118;118;0.0;0;24;
g119;119;119;0.0;0;24;
g120;120;120;0.0;1;24;
g121;121;121;0.0;1;24;
g122;122;122;0.0;0;24;
g123;123;123;0.0;0;24;
g124;124;124;0.0;0;24;
g125;125;125;0.0;0;24;
g126;126;126;0.0;0;24;
g127;127;127;0.0;1;24;
g128;128;128;0.0;0;24;
g129;129;129;0.0;0;24;
g130;130;130;0.0;0;24;
g131;131;131;0.0;0;24;
g132;132;132;0.0;0;24;
g133;133;133;0.0;0;24;
g134;134;134;0.0;0;24;
g135;135;135;0.0;0;24;
g136;136;136;0.0;0;24;
g137;137;137;0.0;0;24;
g138;138;138;0.0;0;24;
g139;139;139;0.0;0;24;
g140;140;140;0.0;0;24;
g141;141;141;0.0;0;24;
g142;142;142;0.0;0;24;
g143;143;143;0.0;0;24;
g144;144;144;0.0;0;24;
g145;145;145;0.0;0;24;
g146;146;146;0.0;0;24;
g147;147;147;0.0;0;24;
g148;148;148;0.0;0;24;
g149;149;149;0.0;0;24;
g150;150;150;0.0;0;24;
g151;151;151;0.0;1;24;
g152;152;152;0.0;1;24;
g153;153;153;0.0;0;24;
g154;154;154;0.0;0;24;
g155;155;155;0.0;0;24;
g156;156;156;0.0;0;24;
g157;157;157;0.0;0;24;
g158;158;158;0.0;0;24;
g159;159;159;0.0;0;24;
g160;160;160;0.0;0;24;
g161;161;161;0.0;0;24;
g162;162;162;0.0;0;24;
g163;163;163;0.0;0;24;
g164;164;164;0.0;0;24;
g165;165;165;0.0;0;24;
g166;166;166;0.0;1;24;
g167;167;167;0.0;0;24;
g168;168;168;0.0;0;24;
g169;169;169;0.0;0;24;
g170;170;170;0.0;0;24;
g171;171;171;0.0;0;24;
g172;172;172;0.0;1;24;
g173;173;173;0.0;0;24;
g174;174;174;0.0;1;24;
g175;175;175;0.0;1;24;
g176;176;176;0.0;0;24;
g177;177;177;0.0;0;24;
g178;178;178;0.0;0;24;
g179;179;179;0.0;0;24;
g180;180;180;0.0;0;24;
g181;181;181;0.0;0;24;
g182;182;182;0.0;0;24;
g183;183;183;0.0;0;24;
g184;184;184;0.0;0;24;
g185;185;185;0.0;0;24;
g186;186;186;0.0;0;24;
g187;187;187;0.0;1;24;
g188;188;188;0.0;0;24;
g189;189;189;0.0;0;24;
g190;190;190;0.0;0;24;
g191;191;191;0.0;0;24;
g192;192;192;0.0;0;24;
g193;193;193;0.0;0;24;
g194;194;194;0.0;0;24;
g195;195;195;0.0;0;24;
g196;196;196;0.0;1;24;
g197;197;197;0.0;0;24;
g198;198;198;0.0;0;24;
g199;199;199;0.0;0;24;
g200;200;200;0.0;0;24;
g201;201;201;0.0;0;24;
g202;202;202;0.0;0;24;
g203;203;203;0.0;0;24;
g204;204;204;0.0;0;24;
g205;205;205;0.0;0;24;
g206;206;206;0.0;0;24;
g207;207;207;0.0;0;24;
g208;208;208;0.0;0;24;
g209;209;209;0.0;0;24;
g210;210;210;0.0;0;24;
g211;211;211;0.0;0;24;
g212;212;212;0.0;0;24;
g213;213;213;0.0;0;24;
g214;214;214;0.0;0;24;
g215;215;215;0.0;0;24;
g216;216;216;0.0;1;24;
g217;217;217;0.0;1;24;
g218;218;218;0.0;0;24;
g219;219;219;0.0;0;24;
g220;220;220;0.0;0;24;
g221;221;221;0.0;1;24;
g222;222;222;0.0;0;24;
g223;223;223;0.0;1;24;
g224;224;224;0.0;0;24;
g225;225;225;0.0;1;24;
g226;226;226;0.0;0;24;
g227;227;227;0.0;1;24;
g228;228;228;0.0;0;24;
g229;229;229;0.0;0;24;
g230;230;230;0.0;0;24;
g231;231;231;0.0;0;24;
g232;232;232;0.0;1;24;
g233;233;233;0.0;0;24;
g234;234;234;0.0;0;24;
g235;235;235;0.0;0;24;
g236;236;236;0.0;0;24;
g237;237;237;0.0;0;24;
g238;238;238;0.0;1;24;
g239;239;239;0.0;1;24;
g240;240;240;0.0;0;24;
g241;241;241;0.0;0;24;
g242;242;242;0.0;0;24;
g243;243;243;0.0;0;24;
g244;244;244;0.0;0;24;
g245;245;245;0.0;0;24;
g246;246;246;0.0;0;24;
g247;247;247;0.0;0;24;
g248;248;248;0.0;1;24;
g249;249;249;0.0;0;24;
g250;250;250;0.0;1;24;
g251;251;251;0.0;1;24;
g252;252;252;0.0;0;24;
g253;253;253;0.0;0;24;
g254;254;254;0.0;0;24;
g255;255;255;0.0;0;24;
g256;256;256;0.0;0;24;
g257;257;257;0.0;0;24;
g258;258;258;0.0;1;24;
g259;259;259;0.0;0;24;
g260;260;260;0.0;0;24;
g261;261;261;0.0;1;24;
g262;262;262;0.0;0;24;
g263;263;263;0.0;0;24;
g264;264;264;0.0;0;24;
g265;265;265;0.0;0;24;
g266;266;266;0.0;0;24;
g267;267;267;0.0;0;24;
g268;268;268;0.0;0;24;
g269;269;269;0.0;0;24;
g270;270;270;0.0;0;24;
g271;271;271;0.0;0;24;
g272;272;272;0.0;0;24;
g273;273;273;0.0;0;24;
g274;274;274;0.0;0;24;
g275;275;275;0.0;0;24;
g276;276;276;0.0;0;24;
g277;277;277;0.0;0;24;
g278;278;278;0.0;1;24;
g279;279;279;0.0;0;24;
g280;280;280;0.0;0;24;
g281;281;281;0.0;0;24;
g282;282;282;0.0;1;24;
g283;283;283;0.0;1;24;
g284;284;284;0.0;0;24;
g285;285;285;0.0;0;24;
g286;286;286;0.0;1;24;
g287;287;287;0.0;1;24;
g288;288;288;0.0;1;24;
g289;289;289;0.0;1;24;
g290;290;290;0.0;0;24;
g291;291;291;0.0;0;24;
g292;292;292;0.0;0;24;
g293;293;293;0.0;0;24;
g294;294;294;0.0;0;24;
g295;295;295;0.0;0;24;
g296;296;296;0.0;0;24;
g297;297;297;0.0;0;24;
g298;298;298;0.0;0;24;
g299;299;299;0.0;0;24;
g300;300;300;0.0;0;24;
g301;301;301;0.0;0;24;
g302;302;302;0.0;0;24;
g303;303;303;0.0;0;24;
g304;304;304;0.0;0;24;
g305;305;305;0.0;0;24;
g306;306;306;0.0;0;24;
g307;307;307;0.0;0;24;
g308;308;308;0.0;0;24;
g309;309;309;0.0;1;24;
g310;310;310;0.0;0;24;
g311;311;311;0.0;0;24;
g312;312;312;0.0;0;24;
g313;313;313;0.0;0;24;
g314;314;314;0.0;0;24;
g315;315;315;0.0;0;24;
g316;316;316;0.0;1;24;
g317;317;317;0.0;1;24;
g318;318;318;0.0;0;24;
g319;319;319;0.0;0;24;
g320;320;320;0.0;0;24;
g321;321;321;0.0;0;24;
g322;322;322;0.0;0;24;
g323;323;323;0.0;0;24;
g324;324;324;0.0;0;24;
g325;325;325;0.0;0;24;
g326;326;326;0.0;0;24;
g327;327;327;0.0;0;24;
g328;328;328;0.0;0;24;
g329;329;329;0.0;0;24;
g330;330;330;0.0;0;24;
g331;331;331;0.0;0;24;
g332;332;332;0.0;0;24;
g333;333;333;0.0;0;24;
g334;334;334;0.0;1;24;
g335;335;335;0.0;0;24;
g336;336;336;0.0;1;24;
g337;337;337;0.0;0;24;
g338;338;338;0.0;0;24;
g339;339;339;0.0;0;24;
g340;340;340;0.0;0;24;
g341;341;341;0.0;0;24;
g342;342;342;0.0;0;24;
g343;343;343;0.0;1;24;
g344;344;344;0.0;1;24;
g345;345;345;0.0;1;24;
g346;346;346;0.0;1;24;
g347;347;347;0.0;0;24;
g348;348;348;0.0;0;24;
g349;349;349;0.0;0;24;
g350;350;350;0.0;0;24;
g351;351;351;0.0;0;24;
g352;352;352;0.0;0;24;
g353;353;353;0.0;1;24;
g354;354;354;0.0;0;24;
g355;355;355;0.0;0;24;
g356;356;356;0.0;1;24;
g357;357;357;0.0;0;24;
g358;358;358;0.0;0;24;
g359;359;359;0.0;1;24;
g360;360;360;0.0;0;24;
g361;361;361;0.0;1;24;
g362;362;362;0.0;0;24;
g363;363;363;0.0;0;24;
g364;364;364;0.0;0;24;
g365;365;365;0.0;0;24;
g366;366;366;0.0;0;24;
g367;367;367;0.0;0;24;
g368;368;368;0.0;0;24;
g369;369;369;0.0;0;24;
g370;370;370;0.0;0;24;
g371;371;371;0.0;1;24;
g372;372;372;0.0;0;24;
g373;373;373;0.0;0;24;
g374;374;374;0.0;0;24;
g375;375;375;0.0;0;24;
g376;376;376;0.0;0;24;
g377;377;377;0.0;0;24;
g378;378;378;0.0;0;24;
g379;379;379;0.0;0;24;
g380;380;380;0.0;0;24;
g381;381;381;0.0;0;24;
g382;382;382;0.0;0;24;
g383;383;383;0.0;0;24;
g384;384;384;0.0;0;24;
g385;385;385;0.0;0;24;
g386;386;386;0.0;0;24;
g387;387;387;0.0;0;24;
g388;388;388;0.0;0;24;
g389;389;389;0.0;1;24;
g390;390;390;0.0;0;24;
g391;391;391;0.0;0;24;
g392;392;392;0.0;0;24;
g393;393;393;0.0;0;24;
g394;394;394;0.0;1;24;
g395;395;395;0.0;0;24;
g396;396;396;0.0;0;24;
g397;397;397;0.0;0;24;
g398;398;398;0.0;0;24;
g399;399;399;0.0;0;24;
g400;400;400;0.0;0;24;
g401;401;401;0.0;0;24;
g402;402;402;0.0;0;24;
g403;403;403;0.0;0;24;
g404;404;404;0.0;0;24;
g405;405;405;0.0;0;24;
g406;406;406;0.0;0;24;
g407;407;407;0.0;1;24;
g408;408;408;0.0;0;24;
g409;409;409;0.0;0;24;
g410;410;410;0.0;0;24;
g411;411;411;0.0;0;24;
g412;412;412;0.0;0;24;
g413;413;413;0.0;0;24;
g414;414;414;0.0;0;24;
g415;415;415;0.0;0;24;
g416;416;416;0.0;0;24;
g417;417;417;0.0;0;24;
g418;418;418;0.0;0;24;
g419;419;419;0.0;0;24;
g420;420;420;0.0;0;24;
g421;421;421;0.0;0;24;
g422;422;422;0.0;0;24;
g423;423;423;0.0;0;24;
g424;424;424;0.0;0;24;
g425;425;425;0.0;0;24;
g426;426;426;0.0;1;24;
g427;427;427;0.0;0;24;
g428;428;428;0.0;0;24;
g429;429;429;0.0;0;24;
g430;430;430;0.0;0;24;
g431;431;431;0.0;1;24;
g432;432;432;0.0;0;24;
g433;433;433;0.0;0;24;
g434;434;434;0.0;0;24;
g435;435;435;0.0;0;24;
g436;436;436;0.0;0;24;
g437;437;437;0.0;0;24;
g438;438;438;0.0;0;24;
g439;439;439;0.0;0;24;
g440;440;440;0.0;0;24;
g441;441;441;0.0;0;24;
g442;442;442;0.0;0;24;
g443;443;443;0.0;0;24;
g444;444;444;0.0;0;24;
g445;445;445;0.0;0;24;
g446;446;446;0.0;0;24;
g447;447;447;0.0;0;24;
g448;448;448;0.0;0;24;
g449;449;449;0.0;0;24;
g450;450;450;0.0;0;24;
g451;451;451;0.0;0;24;
g452;452;452;0.0;0;24;
g453;453;453;0.0;0;24;
g454;454;454;0.0;0;24;
g455;455;455;0.0;1;24;
g456;456;456;0.0;0;24;
g457;457;457;0.0;0;24;
g458;458;458;0.0;0;24;
g459;459;459;0.0;0;24;
g460;460;460;0.0;0;24;
g461;461;461;0.0;0;24;
g462;462;462;0.0;0;24;
g463;463;463;0.0;0;24;
g464;464;464;0.0;0;24;
g465;465;465;0.0;0;24;
g466;466;466;0.0;0;24;
g467;467;467;0.0;0;24;
g468;468;468;0.0;0;24;
g469;469;469;0.0;0;24;
g470;470;470;0.0;0;24;
g471;471;471;0.0;0;24;
g472;472;472;0.0;0;24;
g473;473;473;0.0;0;24;
g474;474;474;0.0;0;24;
g475;475;475;0.0;0;24;
g476;476;476;0.0;0;24;
g477;477;477;0.0;0;24;
g478;478;478;0.0;0;24;
g479;479;479;0.0;0;24;
g480;480;480;0.0;0;24;
g481;481;481;0.0;0;24;
g482;482;482;0.0;0;24;
g483;483;483;0.0;0;24;
g484;484;484;0.0;0;24;
g485;485;485;0.0;0;24;
g486;486;486;0.0;0;24;
g487;487;487;0.0;0;24;
g488;488;488;0.0;0;24;
g489;489;489;0.0;0;24;
g490;490;490;0.0;0;24;
g491;491;491;0.0;0;24;
g492;492;492;0.0;0;24;
g493;493;493;0.0;0;24;
g494;494;494;0.0;0;24;
g495;495;495;0.0;0;24;
g496;496;496;0.0;0;24;
g497;497;497;0.0;1;24;
g498;498;498;0.0;0;24;
g499;499;499;0.0;0;24;
g500;500;500;0.0;0;24;
g501;501;501;0.0;0;24;
g502;502;502;0.0;1;24;
g503;503;503;0.0;0;24;
g504;504;504;0.0;0;24;
g505;505;505;0.0;0;24;
g506;506;506;0.0;0;24;
g507;507;507;0.0;0;24;
g508;508;508;0.0;1;24;
g509;509;509;0.0;0;24;
g510;510;510;0.0;0;24;
g511;511;511;0.0;0;24;
g512;512;512;0.0;0;24;
g513;513;513;0.0;0;24;
g514;514;514;0.0;0;24;
g515;515;515;0.0;0;24;
g516;516;516;0.0;0;24;
g517;517;517;0.0;1;24;
g518;518;518;0.0;1;24;
g519;519;519;0.0;1;24;
g520;520;520;0.0;1;24;
g521;521;521;0.0;1;24;
g522;522;522;0.0;0;24;
g523;523;523;0.0;0;24;
g524;524;524;0.0;0;24;
g525;525;525;0.0;0;24;
g526;526;526;0.0;0;24;
g527;527;527;0.0;0;24;
g528;528;528;0.0;0;24;
g529;529;529;0.0;0;24;
g530;530;530;0.0;0;24;
g531;531;531;0.0;0;24;
g532;532;532;0.0;0;24;
g533;533;533;0.0;0;24;
g534;534;534;0.0;0;24;
g535;535;535;0.0;0;24;
g536;536;536;0.0;0;24;
g537;537;537;0.0;0;24;
g538;538;538;0.0;0;24;
g539;539;539;0.0;0;24;
g540;540;540;0.0;0;24;
g541;541;541;0.0;0;24;
g542;542;542;0.0;0;24;
g543;543;543;0.0;0;24;
g544;544;544;0.0;0;24;
g545;545;545;0.0;0;24;
g546;546;546;0.0;1;24;
g547;547;547;0.0;0;24;
g548;548;548;0.0;0;24;
g549;549;549;0.0;0;24;
g550;550;550;0.0;0;24;
g551;551;551;0.0;0;24;
g552;552;552;0.0;1;24;
g553;553;553;0.0;1;24;
g554;554;554;0.0;0;24;
g555;555;555;0.0;0;24;
g556;556;556;0.0;0;24;
g557;557;557;0.0;0;24;
g558;558;558;0.0;0;24;
g559;559;559;0.0;0;24;
g560;560;560;0.0;0;24;
g561;561;561;0.0;0;24;
g562;562;562;0.0;0;24;
g563;563;563;0.0;0;24;
g564;564;564;0.0;0;24;
g565;565;565;0.0;0;24;
g566;566;566;0.0;0;24;
g567;567;567;0.0;0;24;
g568;568;568;0.0;1;24;
g569;569;569;0.0;0;24;
g570;570;570;0.0;0;24;
g571;571;571;0.0;0;24;
g572;572;572;0.0;0;24;
g573;573;573;0.0;0;24;
g574;574;574;0.0;0;24;
g575;575;575;0.0;0;24;
g576;576;576;0.0;0;24;
g577;577;577;0.0;0;24;
g578;578;578;0.0;0;24;
g579;579;579;0.0;0;24;
g580;580;580;0.0;0;24;
g581;581;581;0.0;0;24;
g582;582;582;0.0;0;24;
g583;583;583;0.0;0;24;
g584;584;584;0.0;0;24;
g585;585;585;0.0;0;24;
g586;586;586;0.0;0;24;
g587;587;587;0.0;0;24;
g588;588;588;0.0;0;24;
g589;589;589;0.0;0;24;
g590;590;590;0.0;0;24;
g591;591;591;0.0;0;24;
g592;592;592;0.0;0;24;
g593;593;593;0.0;0;24;
g594;594;594;0.0;0;24;
g595;595;595;0.0;0;24;
g596;596;596;0.0;1;24;
g597;597;597;0.0;0;24;
g598;598;598;0.0;0;24;
g599;599;599;0.0;0;24;
g600;600;600;0.0;0;24;
g601;601;601;0.0;0;24;
g602;602;602;0.0;0;24;
g603;603;603;0.0;0;24;
g604;604;604;0.0;0;24;
g605;605;605;0.0;0;24;
g606;606;606;0.0;0;24;
g607;607;607;0.0;0;24;
g608;608;608;0.0;0;24;
g609;609;609;0.0;0;24;
g610;610;610;0.0;0;24;
g611;611;611;0.0;0;24;
g612;612;612;0.0;0;24;
g613;613;613;0.0;0;24;
g614;614;614;0.0;0;24;
g615;615;615;0.0;0;24;
g616;616;616;0.0;0;24;
g617;617;617;0.0;0;24;
g618;618;618;0.0;0;24;
g619;619;619;0.0;0;24;
g620;620;620;0.0;0;24;
g621;621;621;0.0;0;24;
g622;622;622;0.0;0;24;
g623;623;623;0.0;0;24;
g624;624;624;0.0;1;24;
g625;625;625;0.0;1;24;
g626;626;626;0.0;0;24;
g627;627;627;0.0;0;24;
g628;628;628;0.0;0;24;
g629;629;629;0.0;0;24;
g630;630;630;0.0;0;24;
g631;631;631;0.0;0;24;
g632;632;632;0.0;0;24;
g633;633;633;0.0;0;24;
g634;634;634;0.0;0;24;
g635;635;635;0.0;0;24;
g636;636;636;0.0;0;24;
g637;637;637;0.0;0;24;
g638;638;638;0.0;0;24;
g639;639;639;0.0;0;24;
g640;640;640;0.0;0;24;
g641;641;641;0.0;0;24;
g642;642;642;0.0;0;24;
g643;643;643;0.0;1;24;
g644;644;644;0.0;0;24;
g645;645;645;0.0;1;24;
g646;646;646;0.0;0;24;
g647;647;647;0.0;0;24;
g648;648;648;0.0;0;24;
g649;649;649;0.0;0;24;
g650;650;650;0.0;0;24;
g651;651;651;0.0;0;24;
g652;652;652;0.0;0;24;
g653;653;653;0.0;0;24;
g654;654;654;0.0;0;24;
g655;655;655;0.0;0;24;
g656;656;656;0.0;0;24;
g657;657;657;0.0;0;24;
g658;658;658;0.0;0;24;
g659;659;659;0.0;0;24;
g660;660;660;0.0;0;24;
g661;661;661;0.0;1;24;
g662;662;662;0.0;0;24;
g663;663;663;0.0;0;24;
g664;664;664;0.0;0;24;
g665;665;665;0.0;0;24;
g666;666;666;0.0;0;24;
g667;667;667;0.0;1;24;
g669;669;669;0.0;1;24;
g670;670;670;0.0;0;24;
g671;671;671;0.0;0;24;
g672;672;672;0.0;0;24;
g673;673;673;0.0;0;24;
g674;674;674;0.0;1;24;
g675;675;675;0.0;0;24;
g676;676;676;0.0;0;24;
g677;677;677;0.0;1;24;
g678;678;678;0.0;0;24;
g679;679;679;0.0;0;24;
g680;680;680;0.0;0;24;
g681;681;681;0.0;0;24;
g682;682;682;0.0;0;24;
g683;683;683;0.0;0;24;
g684;684;684;0.0;0;24;
g685;685;685;0.0;0;24;
g686;686;686;0.0;1;24;
g687;687;687;0.0;0;24;
g688;688;688;0.0;0;24;
g689;689;689;0.0;0;24;
g690;690;690;0.0;0;24;
g691;691;691;0.0;0;24;
g692;692;692;0.0;0;24;
g693;693;693;0.0;0;24;
g694;694;694;0.0;0;24;
g695;695;695;0.0;0;24;
g696;696;696;0.0;1;24;
g697;697;697;0.0;1;24;
g698;698;698;0.0;0;24;
g699;699;699;0.0;0;24;
g700;700;700;0.0;0;24;
g701;701;701;0.0;0;24;
g702;702;702;0.0;0;24;
g703;703;703;0.0;0;24;
g704;704;704;0.0;0;24;
g705;705;705;0.0;0;24;
g706;706;706;0.0;0;24;
g707;707;707;0.0;0;24;
g708;708;708;0.0;0;24;
g709;709;709;0.0;0;24;
g710;710;710;0.0;0;24;
g711;711;711;0.0;0;24;
g712;712;712;0.0;0;24;
g713;713;713;0.0;0;24;
g714;714;714;0.0;0;24;
g715;715;715;0.0;0;24;
g716;716;716;0.0;0;24;
g717;717;717;0.0;0;24;
g718;718;718;0.0;0;24;
g719;719;719;0.0;1;24;
g720;720;720;0.0;0;24;
g721;721;721;0.0;0;24;
g722;722;722;0.0;1;24;
g723;723;723;0.0;0;24;
g724;724;724;0.0;0;24;
g725;725;725;0.0;0;24;
g726;726;726;0.0;0;24;
g727;727;727;0.0;0;24;
g728;728;728;0.0;0;24;
g729;729;729;0.0;0;24;
g730;730;730;0.0;0;24;
g731;731;731;0.0;0;24;
g732;732;732;0.0;0;24;
g733;733;733;0.0;0;24;
g734;734;734;0.0;0;24;
g735;735;735;0.0;0;24;
g736;736;736;0.0;0;24;
g737;737;737;0.0;0;24;
g738;738;738;0.0;0;24;
g739;739;739;0.0;0;24;
g740;740;740;0.0;0;24;
g741;741;741;0.0;0;24;
g742;742;742;0.0;0;24;
g743;743;743;0.0;0;24;
g744;744;744;0.0;0;24;
g745;745;745;0.0;0;24;
g746;746;746;0.0;0;24;
g747;747;747;0.0;0;24;
g748;748;748;0.0;1;24;
g749;749;749;0.0;1;24;
g750;750;750;0.0;0;24;
g751;751;751;0.0;0;24;
g752;752;752;0.0;0;24;
g753;753;753;0.0;0;24;
g754;754;754;0.0;0;24;
g755;755;755;0.0;0;24;
g756;756;756;0.0;0;24;
g757;757;757;0.0;0;24;
g758;758;758;0.0;0;24;
g759;759;759;0.0;0;24;
g760;760;760;0.0;0;24;
g761;761;761;0.0;0;24;
g762;762;762;0.0;0;24;
g763;763;763;0.0;0;24;
g764;764;764;0.0;0;24;
g765;765;765;0.0;1;24;
g766;766;766;0.0;0;24;
g767;767;767;0.0;0;24;
g768;768;768;0.0;0;24;
g769;769;769;0.0;0;24;
g770;770;770;0.0;0;24;
g771;771;771;0.0;0;24;
g772;772;772;0.0;0;24;
g773;773;773;0.0;0;24;
g774;774;774;0.0;0;24;
g775;775;775;0.0;0;24;
g776;776;776;0.0;0;24;
g777;777;777;0.0;0;24;
g778;778;778;0.0;0;24;
g779;779;779;0.0;0;24;
g780;780;780;0.0;0;24;
g781;781;781;0.0;0;24;
g782;782;782;0.0;0;24;
g783;783;783;0.0;0;24;
g784;784;784;0.0;0;24;
g785;785;785;0.0;0;24;
g786;786;786;0.0;0;24;
g787;787;787;0.0;0;24;
g788;788;788;0.0;0;24;
g789;789;789;0.0;0;24;
g790;790;790;0.0;0;24;
g791;791;791;0.0;0;24;
g792;792;792;0.0;0;24;
g793;793;793;0.0;0;24;
g794;794;794;0.0;0;24;
g795;795;795;0.0;1;24;
g796;796;796;0.0;0;24;
g797;797;797;0.0;0;24;
g798;798;798;0.0;0;24;
g799;799;799;0.0;0;24;
g800;800;800;0.0;0;24;
g801;801;801;0.0;0;24;
g802;802;802;0.0;1;24;
g803;803;803;0.0;0;24;
g804;804;804;0.0;1;24;
g805;805;805;0.0;0;24;
g806;806;806;0.0;0;24;
g807;807;807;0.0;0;24;
g808;808;808;0.0;1;24;
g809;809;809;0.0;0;24;
g810;810;810;0.0;0;24;
g811;811;811;0.0;0;24;
g812;812;812;0.0;0;24;
g813;813;813;0.0;0;24;
g814;814;814;0.0;0;24;
g815;815;815;0.0;0;24;
g816;816;816;0.0;0;24;
g817;817;817;0.0;0;24;
g818;818;818;0.0;0;24;
g819;819;819;0.0;1;24;
g820;820;820;0.0;0;24;
g821;821;821;0.0;1;24;
g822;822;822;0.0;1;24;
g823;823;823;0.0;0;24;
g824;824;824;0.0;0;24;
g825;825;825;0.0;1;24;
g826;826;826;0.0;0;24;
g827;827;827;0.0;0;24;
g828;828;828;0.0;0;24;
g829;829;829;0.0;0;24;
g830;830;830;0.0;0;24;
g831;831;831;0.0;0;24;
g832;832;832;0.0;0;24;
g833;833;833;0.0;0;24;
g834;834;834;0.0;0;24;
g835;835;835;0.0;0;24;
g836;836;836;0.0;1;24;
g837;837;837;0.0;0;24;
g838;838;838;0.0;0;24;
g839;839;839;0.0;0;24;
g840;840;840;0.0;0;24;
g841;841;841;0.0;0;24;
g842;842;842;0.0;0;24;
g843;843;843;0.0;0;24;
g844;844;844;0.0;0;24;
g845;845;845;0.0;0;24;
g846;846;846;0.0;0;24;
g847;847;847;0.0;1;24;
g848;848;848;0.0;1;24;
g849;849;849;0.0;1;24;
g850;850;850;0.0;1;24;
g851;851;851;0.0;1;24;
g852;852;852;0.0;0;24;
g853;853;853;0.0;0;24;
g854;854;854;0.0;0;24;
g855;855;855;0.0;0;24;
g856;856;856;0.0;0;24;
g857;857;857;0.0;0;24;
g858;858;858;0.0;0;24;
g859;859;859;0.0;0;24;
g860;860;860;0.0;0;24;
g861;861;861;0.0;0;24;
g862;862;862;0.0;0;24;
g863;863;863;0.0;0;24;
g864;864;864;0.0;0;24;
g865;865;865;0.0;0;24;
g866;866;866;0.0;0;24;
g867;867;867;0.0;0;24;
g868;868;868;0.0;0;24;
g869;869;869;0.0;0;24;
g870;870;870;0.0;0;24;
g871;871;871;0.0;0;24;
